Time t,theta 1,theta 2,theta 3,omega 1,omega 2,omega 3
0,0,1.0472,-1.0472,0,0,0
0.01,0,1.0472,-1.0472,0,1.93784e-018,-8.7203e-018
0.02,0,1.0472,-1.0472,0,3.87569e-018,-1.74406e-017
0.03,0,1.0472,-1.0472,0,5.81353e-018,-2.61609e-017
0.04,0,1.0472,-1.0472,0,7.75138e-018,-3.48812e-017
0.05,0,1.0472,-1.0472,0,9.68922e-018,-4.36015e-017
0.06,0,1.0472,-1.0472,0,1.16271e-017,-5.23218e-017
0.07,0,1.0472,-1.0472,0,1.35649e-017,-6.10421e-017
0.08,0,1.0472,-1.0472,0,1.55028e-017,-6.97624e-017
0.09,0,1.0472,-1.0472,0,1.74406e-017,-7.84827e-017
0.1,0,1.0472,-1.0472,0,1.93784e-017,-8.7203e-017
0.11,0,1.0472,-1.0472,0,2.13163e-017,-9.59233e-017
0.12,0,1.0472,-1.0472,0,2.32541e-017,-1.04644e-016
0.13,0,1.0472,-1.0472,0,2.5192e-017,-1.13364e-016
0.14,0,1.0472,-1.0472,0,2.71298e-017,-1.22084e-016
0.15,0,1.0472,-1.0472,0,2.90677e-017,-1.30804e-016
0.16,0,1.0472,-1.0472,0,3.10055e-017,-1.39525e-016
0.17,0,1.0472,-1.0472,0,3.29433e-017,-1.48245e-016
0.18,0,1.0472,-1.0472,0,3.48812e-017,-1.56965e-016
0.19,0,1.0472,-1.0472,0,3.6819e-017,-1.65686e-016
0.2,0,1.0472,-1.0472,0,3.87569e-017,-1.74406e-016
0.21,0,1.0472,-1.0472,0,4.06947e-017,-1.83126e-016
0.22,0,1.0472,-1.0472,0,4.26326e-017,-1.91847e-016
0.23,0,1.0472,-1.0472,0,4.45704e-017,-2.00567e-016
0.24,0,1.0472,-1.0472,0,4.65083e-017,-2.09287e-016
0.25,0,1.0472,-1.0472,0,4.84461e-017,-2.18007e-016
0.26,0,1.0472,-1.0472,0,5.03839e-017,-2.26728e-016
0.27,0,1.0472,-1.0472,0,5.23218e-017,-2.35448e-016
0.28,0,1.0472,-1.0472,0,5.42596e-017,-2.44168e-016
0.29,0,1.0472,-1.0472,0,5.61975e-017,-2.52889e-016
0.3,0,1.0472,-1.0472,0,5.81353e-017,-2.61609e-016
0.31,0,1.0472,-1.0472,0,6.00732e-017,-2.70329e-016
0.32,0,1.0472,-1.0472,0,6.2011e-017,-2.7905e-016
0.33,0,1.0472,-1.0472,0,6.39488e-017,-2.8777e-016
0.34,0,1.0472,-1.0472,0,6.58867e-017,-2.9649e-016
0.35,0,1.0472,-1.0472,0,6.78245e-017,-3.0521e-016
0.36,0,1.0472,-1.0472,0,6.97624e-017,-3.13931e-016
0.37,0,1.0472,-1.0472,0,7.17002e-017,-3.22651e-016
0.38,0,1.0472,-1.0472,0,7.36381e-017,-3.31371e-016
0.39,0,1.0472,-1.0472,0,7.55759e-017,-3.40092e-016
0.4,0,1.0472,-1.0472,0,7.75138e-017,-3.48812e-016
0.41,0,1.0472,-1.0472,0,7.94516e-017,-3.57532e-016
0.42,0,1.0472,-1.0472,0,8.13894e-017,-3.66252e-016
0.43,0,1.0472,-1.0472,0,8.33273e-017,-3.74973e-016
0.44,0,1.0472,-1.0472,0,8.52651e-017,-3.83693e-016
0.45,0,1.0472,-1.0472,0,8.7203e-017,-3.92413e-016
0.46,0,1.0472,-1.0472,0,8.91408e-017,-4.01134e-016
0.47,0,1.0472,-1.0472,0,9.10787e-017,-4.09854e-016
0.48,0,1.0472,-1.0472,0,9.30165e-017,-4.18574e-016
0.49,0,1.0472,-1.0472,0,9.49543e-017,-4.27295e-016
0.5,0,1.0472,-1.0472,0,9.68922e-017,-4.36015e-016
0.51,0,1.0472,-1.0472,0,9.883e-017,-4.44735e-016
0.52,0,1.0472,-1.0472,0,1.00768e-016,-4.53455e-016
0.53,0,1.0472,-1.0472,0,1.02706e-016,-4.62176e-016
0.54,0,1.0472,-1.0472,0,1.04644e-016,-4.70896e-016
0.55,0,1.0472,-1.0472,0,1.06581e-016,-4.79616e-016
0.56,0,1.0472,-1.0472,0,1.08519e-016,-4.88337e-016
0.57,0,1.0472,-1.0472,0,1.10457e-016,-4.97057e-016
0.58,0,1.0472,-1.0472,0,1.12395e-016,-5.05777e-016
0.59,0,1.0472,-1.0472,0,1.14333e-016,-5.14498e-016
0.6,0,1.0472,-1.0472,0,1.16271e-016,-5.23218e-016
0.61,0,1.0472,-1.0472,0,1.18208e-016,-5.31938e-016
0.62,0,1.0472,-1.0472,0,1.20146e-016,-5.40658e-016
0.63,0,1.0472,-1.0472,0,1.22084e-016,-5.49379e-016
0.64,0,1.0472,-1.0472,0,1.24022e-016,-5.58099e-016
0.65,0,1.0472,-1.0472,0,1.2596e-016,-5.66819e-016
0.66,0,1.0472,-1.0472,0,1.27898e-016,-5.7554e-016
0.67,0,1.0472,-1.0472,0,1.29836e-016,-5.8426e-016
0.68,0,1.0472,-1.0472,0,1.31773e-016,-5.9298e-016
0.69,0,1.0472,-1.0472,0,1.33711e-016,-6.01701e-016
0.7,0,1.0472,-1.0472,0,1.35649e-016,-6.10421e-016
0.71,0,1.0472,-1.0472,0,1.37587e-016,-6.19141e-016
0.72,0,1.0472,-1.0472,0,1.39525e-016,-6.27861e-016
0.73,0,1.0472,-1.0472,0,1.41463e-016,-6.36582e-016
0.74,0,1.0472,-1.0472,0,1.434e-016,-6.45302e-016
0.75,0,1.0472,-1.0472,0,1.45338e-016,-6.54022e-016
0.76,0,1.0472,-1.0472,0,1.47276e-016,-6.62743e-016
0.77,0,1.0472,-1.0472,0,1.49214e-016,-6.71463e-016
0.78,0,1.0472,-1.0472,0,1.51152e-016,-6.80183e-016
0.79,0,1.0472,-1.0472,0,1.5309e-016,-6.88903e-016
0.8,0,1.0472,-1.0472,0,1.55028e-016,-6.97624e-016
0.81,0,1.0472,-1.0472,0,1.56965e-016,-7.06344e-016
0.82,0,1.0472,-1.0472,0,1.58903e-016,-7.15064e-016
0.83,0,1.0472,-1.0472,0,1.60841e-016,-7.23785e-016
0.84,0,1.0472,-1.0472,0,1.62779e-016,-7.32505e-016
0.85,0,1.0472,-1.0472,0,1.64717e-016,-7.41225e-016
0.86,0,1.0472,-1.0472,0,1.66655e-016,-7.49946e-016
0.87,0,1.0472,-1.0472,0,1.68592e-016,-7.58666e-016
0.88,0,1.0472,-1.0472,0,1.7053e-016,-7.67386e-016
0.89,0,1.0472,-1.0472,0,1.72468e-016,-7.76106e-016
0.9,0,1.0472,-1.0472,0,1.74406e-016,-7.84827e-016
0.91,0,1.0472,-1.0472,0,1.76344e-016,-7.93547e-016
0.92,0,1.0472,-1.0472,0,1.78282e-016,-8.02267e-016
0.93,0,1.0472,-1.0472,0,1.80219e-016,-8.10988e-016
0.94,0,1.0472,-1.0472,0,1.82157e-016,-8.19708e-016
0.95,0,1.0472,-1.0472,0,1.84095e-016,-8.28428e-016
0.96,0,1.0472,-1.0472,0,1.86033e-016,-8.37149e-016
0.97,0,1.0472,-1.0472,0,1.87971e-016,-8.45869e-016
0.98,0,1.0472,-1.0472,0,1.89909e-016,-8.54589e-016
0.99,0,1.0472,-1.0472,0,1.91847e-016,-8.63309e-016
1,0,1.0472,-1.0472,0,1.93784e-016,-8.7203e-016
1.01,0,1.0472,-1.0472,0,1.95722e-016,-8.8075e-016
1.02,0,1.0472,-1.0472,0,1.9766e-016,-8.8947e-016
1.03,0,1.0472,-1.0472,0,1.99598e-016,-8.98191e-016
1.04,0,1.0472,-1.0472,0,2.01536e-016,-9.06911e-016
1.05,0,1.0472,-1.0472,0,2.03474e-016,-9.15631e-016
1.06,0,1.0472,-1.0472,0,2.05411e-016,-9.24352e-016
1.07,0,1.0472,-1.0472,0,2.07349e-016,-9.33072e-016
1.08,0,1.0472,-1.0472,0,2.09287e-016,-9.41792e-016
1.09,0,1.0472,-1.0472,0,2.11225e-016,-9.50512e-016
1.1,0,1.0472,-1.0472,0,2.13163e-016,-9.59233e-016
1.11,0,1.0472,-1.0472,0,2.15101e-016,-9.67953e-016
1.12,0,1.0472,-1.0472,0,2.17039e-016,-9.76673e-016
1.13,0,1.0472,-1.0472,0,2.18976e-016,-9.85394e-016
1.14,0,1.0472,-1.0472,0,2.20914e-016,-9.94114e-016
1.15,0,1.0472,-1.0472,0,2.22852e-016,-1.00283e-015
1.16,0,1.0472,-1.0472,0,2.2479e-016,-1.01155e-015
1.17,0,1.0472,-1.0472,0,2.26728e-016,-1.02027e-015
1.18,0,1.0472,-1.0472,0,2.28666e-016,-1.029e-015
1.19,0,1.0472,-1.0472,0,2.30603e-016,-1.03772e-015
1.2,0,1.0472,-1.0472,0,2.32541e-016,-1.04644e-015
1.21,0,1.0472,-1.0472,0,2.34479e-016,-1.05516e-015
1.22,0,1.0472,-1.0472,0,2.36417e-016,-1.06388e-015
1.23,0,1.0472,-1.0472,0,2.38355e-016,-1.0726e-015
1.24,0,1.0472,-1.0472,0,2.40293e-016,-1.08132e-015
1.25,0,1.0472,-1.0472,0,2.4223e-016,-1.09004e-015
1.26,0,1.0472,-1.0472,0,2.44168e-016,-1.09876e-015
1.27,0,1.0472,-1.0472,0,2.46106e-016,-1.10748e-015
1.28,0,1.0472,-1.0472,0,2.48044e-016,-1.1162e-015
1.29,0,1.0472,-1.0472,0,2.49982e-016,-1.12492e-015
1.3,0,1.0472,-1.0472,0,2.5192e-016,-1.13364e-015
1.31,0,1.0472,-1.0472,0,2.53858e-016,-1.14236e-015
1.32,0,1.0472,-1.0472,0,2.55795e-016,-1.15108e-015
1.33,0,1.0472,-1.0472,0,2.57733e-016,-1.1598e-015
1.34,0,1.0472,-1.0472,0,2.59671e-016,-1.16852e-015
1.35,0,1.0472,-1.0472,0,2.61609e-016,-1.17724e-015
1.36,0,1.0472,-1.0472,0,2.63547e-016,-1.18596e-015
1.37,0,1.0472,-1.0472,0,2.65485e-016,-1.19468e-015
1.38,0,1.0472,-1.0472,0,2.67422e-016,-1.2034e-015
1.39,0,1.0472,-1.0472,0,2.6936e-016,-1.21212e-015
1.4,0,1.0472,-1.0472,0,2.71298e-016,-1.22084e-015
1.41,0,1.0472,-1.0472,0,2.73236e-016,-1.22956e-015
1.42,0,1.0472,-1.0472,0,2.75174e-016,-1.23828e-015
1.43,0,1.0472,-1.0472,0,2.77112e-016,-1.247e-015
1.44,0,1.0472,-1.0472,0,2.7905e-016,-1.25572e-015
1.45,0,1.0472,-1.0472,0,2.80987e-016,-1.26444e-015
1.46,0,1.0472,-1.0472,0,2.82925e-016,-1.27316e-015
1.47,0,1.0472,-1.0472,0,2.84863e-016,-1.28188e-015
1.48,0,1.0472,-1.0472,0,2.86801e-016,-1.2906e-015
1.49,0,1.0472,-1.0472,0,2.88739e-016,-1.29932e-015
1.5,0,1.0472,-1.0472,0,2.90677e-016,-1.30804e-015
1.51,0,1.0472,-1.0472,0,2.92614e-016,-1.31676e-015
1.52,0,1.0472,-1.0472,0,2.94552e-016,-1.32549e-015
1.53,0,1.0472,-1.0472,0,2.9649e-016,-1.33421e-015
1.54,0,1.0472,-1.0472,0,2.98428e-016,-1.34293e-015
1.55,0,1.0472,-1.0472,0,3.00366e-016,-1.35165e-015
1.56,0,1.0472,-1.0472,0,3.02304e-016,-1.36037e-015
1.57,0,1.0472,-1.0472,0,3.04241e-016,-1.36909e-015
1.58,0,1.0472,-1.0472,0,3.06179e-016,-1.37781e-015
1.59,0,1.0472,-1.0472,0,3.08117e-016,-1.38653e-015
1.6,0,1.0472,-1.0472,0,3.10055e-016,-1.39525e-015
1.61,0,1.0472,-1.0472,0,3.11993e-016,-1.40397e-015
1.62,0,1.0472,-1.0472,0,3.13931e-016,-1.41269e-015
1.63,0,1.0472,-1.0472,0,3.15869e-016,-1.42141e-015
1.64,0,1.0472,-1.0472,0,3.17806e-016,-1.43013e-015
1.65,0,1.0472,-1.0472,0,3.19744e-016,-1.43885e-015
1.66,0,1.0472,-1.0472,0,3.21682e-016,-1.44757e-015
1.67,0,1.0472,-1.0472,0,3.2362e-016,-1.45629e-015
1.68,0,1.0472,-1.0472,0,3.25558e-016,-1.46501e-015
1.69,0,1.0472,-1.0472,0,3.27496e-016,-1.47373e-015
1.7,0,1.0472,-1.0472,0,3.29433e-016,-1.48245e-015
1.71,0,1.0472,-1.0472,0,3.31371e-016,-1.49117e-015
1.72,0,1.0472,-1.0472,0,3.33309e-016,-1.49989e-015
1.73,0,1.0472,-1.0472,0,3.35247e-016,-1.50861e-015
1.74,0,1.0472,-1.0472,0,3.37185e-016,-1.51733e-015
1.75,0,1.0472,-1.0472,0,3.39123e-016,-1.52605e-015
1.76,0,1.0472,-1.0472,0,3.41061e-016,-1.53477e-015
1.77,0,1.0472,-1.0472,0,3.42998e-016,-1.54349e-015
1.78,0,1.0472,-1.0472,0,3.44936e-016,-1.55221e-015
1.79,0,1.0472,-1.0472,0,3.46874e-016,-1.56093e-015
1.8,0,1.0472,-1.0472,0,3.48812e-016,-1.56965e-015
1.81,0,1.0472,-1.0472,0,3.5075e-016,-1.57837e-015
1.82,0,1.0472,-1.0472,0,3.52688e-016,-1.58709e-015
1.83,0,1.0472,-1.0472,0,3.54625e-016,-1.59581e-015
1.84,0,1.0472,-1.0472,0,3.56563e-016,-1.60453e-015
1.85,0,1.0472,-1.0472,0,3.58501e-016,-1.61325e-015
1.86,0,1.0472,-1.0472,0,3.60439e-016,-1.62198e-015
1.87,0,1.0472,-1.0472,0,3.62377e-016,-1.6307e-015
1.88,0,1.0472,-1.0472,0,3.64315e-016,-1.63942e-015
